58	3636	3618	3616	3538	3536	2898	2900	2902	2904	2906	2965	2895	2893	2826	2824	2428	2426	2432	2493	2491	2495	2831	2834	2836	2838	2855	1925	1923	1921	1919	1915	1866	1864	1238	1236	1234	1207	1204	766	765	762	759	760	254	251	249	248	244	1149	1151	1147	1042	1040	1532	1531	1583	1585	1644
14508	-0.000633145	-0.000633145	-0.000633145	-0.000633145	-0.000633145	-0.004899767	-0.004899767	-0.004899767	-0.004899767	-0.004899767	-0.003621245	-0.003621245	-0.003621245	-0.003621245	-0.003621245	-0.054074002	-0.054074002	-0.054074002	-0.032532326	-0.032532326	-0.032532326	-0.003935878	-0.003935878	-0.003935878	-0.003935878	-0.003935878	-0.00396055	-0.00396055	-0.00396055	-0.00396055	-0.00396055	-0.00396055	-0.00396055	-0.00337203	-0.00337203	-0.00337203	-0.00337203	-0.00337203	-0.004446085	-0.004446085	-0.004446085	-0.004446085	-0.004446085	-0.006959089	-0.006959089	-0.006959089	-0.006959089	-0.006959089	-0.006782163	-0.006782163	-0.006782163	-0.006782163	-0.006782163	-0.005519277	-0.005519277	-0.005519277	-0.005519277	-0.005519277
15624	-0.000829548	-0.000829548	-0.000829548	-0.000829548	-0.000829548	-0.006419687	-0.006419687	-0.006419687	-0.006419687	-0.006419687	-0.004744565	-0.004744565	-0.004744565	-0.004744565	-0.004744565	-0.070847896	-0.070847896	-0.070847896	-0.042623937	-0.042623937	-0.042623937	-0.005156798	-0.005156798	-0.005156798	-0.005156798	-0.005156798	-0.005189123	-0.005189123	-0.005189123	-0.005189123	-0.005189123	-0.005189123	-0.005189123	-0.004418043	-0.004418043	-0.004418043	-0.004418043	-0.004418043	-0.005825271	-0.005825271	-0.005825271	-0.005825271	-0.005825271	-0.009117816	-0.009117816	-0.009117816	-0.009117816	-0.009117816	-0.008886007	-0.008886007	-0.008886007	-0.008886007	-0.008886007	-0.007231371	-0.007231371	-0.007231371	-0.007231371	-0.007231371
16740	-0.001070905	-0.001070905	-0.001070905	-0.001070905	-0.001070905	-0.008287497	-0.008287497	-0.008287497	-0.008287497	-0.008287497	-0.006124998	-0.006124998	-0.006124998	-0.006124998	-0.006124998	-0.091461113	-0.091461113	-0.091461113	-0.055025385	-0.055025385	-0.055025385	-0.00665717	-0.00665717	-0.00665717	-0.00665717	-0.00665717	-0.0066989	-0.0066989	-0.0066989	-0.0066989	-0.0066989	-0.0066989	-0.0066989	-0.005703474	-0.005703474	-0.005703474	-0.005703474	-0.005703474	-0.007520136	-0.007520136	-0.007520136	-0.007520136	-0.007520136	-0.011770648	-0.011770648	-0.011770648	-0.011770648	-0.011770648	-0.011471394	-0.011471394	-0.011471394	-0.011471394	-0.011471394	-0.009335341	-0.009335341	-0.009335341	-0.009335341	-0.009335341
17856	-0.001276471	-0.001276471	-0.001276471	-0.001276471	-0.001276471	-0.009878319	-0.009878319	-0.009878319	-0.009878319	-0.009878319	-0.007300718	-0.007300718	-0.007300718	-0.007300718	-0.007300718	-0.109017484	-0.109017484	-0.109017484	-0.065587754	-0.065587754	-0.065587754	-0.007935043	-0.007935043	-0.007935043	-0.007935043	-0.007935043	-0.007984784	-0.007984784	-0.007984784	-0.007984784	-0.007984784	-0.007984784	-0.007984784	-0.006798281	-0.006798281	-0.006798281	-0.006798281	-0.006798281	-0.00896366	-0.00896366	-0.00896366	-0.00896366	-0.00896366	-0.014030076	-0.014030076	-0.014030076	-0.014030076	-0.014030076	-0.013673379	-0.013673379	-0.013673379	-0.013673379	-0.013673379	-0.011127302	-0.011127302	-0.011127302	-0.011127302	-0.011127302
18972	-0.00150538	-0.00150538	-0.00150538	-0.00150538	-0.00150538	-0.011649797	-0.011649797	-0.011649797	-0.011649797	-0.011649797	-0.008609956	-0.008609956	-0.008609956	-0.008609956	-0.008609956	-0.128567581	-0.128567581	-0.128567581	-0.077349602	-0.077349602	-0.077349602	-0.009358034	-0.009358034	-0.009358034	-0.009358034	-0.009358034	-0.009416695	-0.009416695	-0.009416695	-0.009416695	-0.009416695	-0.009416695	-0.009416695	-0.008017417	-0.008017417	-0.008017417	-0.008017417	-0.008017417	-0.010571112	-0.010571112	-0.010571112	-0.010571112	-0.010571112	-0.016546089	-0.016546089	-0.016546089	-0.016546089	-0.016546089	-0.016125425	-0.016125425	-0.016125425	-0.016125425	-0.016125425	-0.01312276	-0.01312276	-0.01312276	-0.01312276	-0.01312276
20088	-0.001752975	-0.001752975	-0.001752975	-0.001752975	-0.001752975	-0.013565879	-0.013565879	-0.013565879	-0.013565879	-0.013565879	-0.010026064	-0.010026064	-0.010026064	-0.010026064	-0.010026064	-0.14971353	-0.14971353	-0.14971353	-0.090071554	-0.090071554	-0.090071554	-0.010897181	-0.010897181	-0.010897181	-0.010897181	-0.010897181	-0.010965491	-0.010965491	-0.010965491	-0.010965491	-0.010965491	-0.010965491	-0.010965491	-0.009336068	-0.009336068	-0.009336068	-0.009336068	-0.009336068	-0.012309779	-0.012309779	-0.012309779	-0.012309779	-0.012309779	-0.01926748	-0.01926748	-0.01926748	-0.01926748	-0.01926748	-0.018777629	-0.018777629	-0.018777629	-0.018777629	-0.018777629	-0.015281105	-0.015281105	-0.015281105	-0.015281105	-0.015281105
21204	-0.00200057	-0.00200057	-0.00200057	-0.00200057	-0.00200057	-0.015481961	-0.015481961	-0.015481961	-0.015481961	-0.015481961	-0.011442173	-0.011442173	-0.011442173	-0.011442173	-0.011442173	-0.170859478	-0.170859478	-0.170859478	-0.102793507	-0.102793507	-0.102793507	-0.012436329	-0.012436329	-0.012436329	-0.012436329	-0.012436329	-0.012514287	-0.012514287	-0.012514287	-0.012514287	-0.012514287	-0.012514287	-0.012514287	-0.01065472	-0.01065472	-0.01065472	-0.01065472	-0.01065472	-0.014048446	-0.014048446	-0.014048446	-0.014048446	-0.014048446	-0.021988872	-0.021988872	-0.021988872	-0.021988872	-0.021988872	-0.021429833	-0.021429833	-0.021429833	-0.021429833	-0.021429833	-0.01743945	-0.01743945	-0.01743945	-0.01743945	-0.01743945
22320	-0.00222464	-0.00222464	-0.00222464	-0.00222464	-0.00222464	-0.017215992	-0.017215992	-0.017215992	-0.017215992	-0.017215992	-0.012723735	-0.012723735	-0.012723735	-0.012723735	-0.012723735	-0.189996307	-0.189996307	-0.189996307	-0.114306721	-0.114306721	-0.114306721	-0.013829239	-0.013829239	-0.013829239	-0.013829239	-0.013829239	-0.013915929	-0.013915929	-0.013915929	-0.013915929	-0.013915929	-0.013915929	-0.013915929	-0.011848084	-0.011848084	-0.011848084	-0.011848084	-0.011848084	-0.015621919	-0.015621919	-0.015621919	-0.015621919	-0.015621919	-0.024451699	-0.024451699	-0.024451699	-0.024451699	-0.024451699	-0.023830045	-0.023830045	-0.023830045	-0.023830045	-0.023830045	-0.019392727	-0.019392727	-0.019392727	-0.019392727	-0.019392727
23436	-0.00238577	-0.00238577	-0.00238577	-0.00238577	-0.00238577	-0.018462937	-0.018462937	-0.018462937	-0.018462937	-0.018462937	-0.013645308	-0.013645308	-0.013645308	-0.013645308	-0.013645308	-0.203757637	-0.203757637	-0.203757637	-0.122585896	-0.122585896	-0.122585896	-0.014830884	-0.014830884	-0.014830884	-0.014830884	-0.014830884	-0.014923852	-0.014923852	-0.014923852	-0.014923852	-0.014923852	-0.014923852	-0.014923852	-0.012706235	-0.012706235	-0.012706235	-0.012706235	-0.012706235	-0.016753406	-0.016753406	-0.016753406	-0.016753406	-0.016753406	-0.026222722	-0.026222722	-0.026222722	-0.026222722	-0.026222722	-0.025556043	-0.025556043	-0.025556043	-0.025556043	-0.025556043	-0.020797331	-0.020797331	-0.020797331	-0.020797331	-0.020797331
24552	-0.002999016	-0.002999016	-0.002999016	-0.002999016	-0.002999016	-0.02320871	-0.02320871	-0.02320871	-0.02320871	-0.02320871	-0.017152742	-0.017152742	-0.017152742	-0.017152742	-0.017152742	-0.256132164	-0.256132164	-0.256132164	-0.154095773	-0.154095773	-0.154095773	-0.018643062	-0.018643062	-0.018643062	-0.018643062	-0.018643062	-0.018759928	-0.018759928	-0.018759928	-0.018759928	-0.018759928	-0.018759928	-0.018759928	-0.015972287	-0.015972287	-0.015972287	-0.015972287	-0.015972287	-0.021059756	-0.021059756	-0.021059756	-0.021059756	-0.021059756	-0.032963096	-0.032963096	-0.032963096	-0.032963096	-0.032963096	-0.032125051	-0.032125051	-0.032125051	-0.032125051	-0.032125051	-0.026143145	-0.026143145	-0.026143145	-0.026143145	-0.026143145
