x	y	z
735869	7459800.75	1.35
735879.65	7459815.65	1.35
735884.975	7459823.1	1.35
735890.3	7459830.55	1.35
735843.375	7459852.225	1.35
735837.1	7459845.9	1.35
735849.65	7459858.55	1.35
735855.925	7459864.875	1.35
735862.2	7459871.2	1.35
735815.6875	7459893.5	1.35
735808.55	7459886.4	1.35
735822.825	7459900.6	1.35
735829.9625	7459907.7	1.35
735837.1	7459914.8	1.35
735788	7459934.775	1.35
735780	7459926.9	1.35
735758.075	7459977.225	1.3498
735750.25	7459963.4	1.35
735796	7459942.65	1.35
735804	7459950.525	1.35
735812	7459958.4	1.35
735765.9	7459991.05	1.3497
735774.775	7460003.325	1.3498
735783.65	7460015.6	1.35
735669.2	7459984.35	1.3932
735720.5	7459999.9	1.35
735728.15	7460019.675	1.3497
735658.993	7460030.025	1.3994
735673.362	7460057.638	1.3716
735735.8	7460039.45	1.35
735745.55	7460056.125	1.3497
735687.731	7460085.25	1.3299
735755.3	7460072.8	1.35
735715.1405	7460104.7	1.2668
735742.55	7460124.15	1.2036
735607.693	7460014.475	1.429
735617.9	7459968.8	1.4038
735639.662	7460131.05	1.3143
735597.486	7460060.15	1.4461
735618.574	7460095.6	1.4067
735684.731	7460153.275	1.207
735729.8	7460175.5	1.0998
735545.4373	7460006.24	1.4332
735564.2	7459949.45	1.3782
735526.6745	7460063.03	1.6572
735576.1175	7460177.73	1.4725
735551.396	7460120.38	1.6007
735651.5838	7460195.865	1.2678
735727.05	7460214	1.0631
735618.4365	7460238.455	1.3286
735724.3	7460252.5	1.0264
735483.1815	7459998.005	1.5891
735510.5	7459930.1	1.4271
735455.863	7460065.91	2.0121
735484.218	7460145.16	2.0093
735512.573	7460224.41	1.6308
735620.3323	7460310.693	1.2506
735731.4	7460320.5	0.9896
735381.6098	7459979.95	1.8151
735391.6095	7459901.32	1.6162
735371.61	7460058.58	2.2123
735390.0235	7460146.838	2.4461
735509.2645	7460300.885	1.5117
735408.437	7460235.095	2.1
735406.085	7460305.425	1.7375
735622.228	7460382.93	1.1727
735738.5	7460388.5	0.9527
735505.956	7460377.36	1.3926
735403.733	7460375.755	1.5548
735287.357	7460051.25	2.216
735280.038	7459961.895	1.852
735272.719	7459872.54	1.7042
735295.829	7460148.515	2.593
735304.301	7460245.78	2.3312
735301.51	7460374.15	1.6874
735302.9055	7460309.965	1.9655
735600.3223	7460448.645	1.2323
735710.05	7460448.35	0.9396
735490.5945	7460448.94	1.525
735394.0333	7460454.468	1.7516
735192.2405	7460107.875	2.197
735171.3	7459987.073	1.5441
735150.3595	7459866.27	1.4093
735297.472	7460459.995	1.805
735202.8475	7460417.955	1.6589
735200.7125	7460205.14	2.4011
735201.78	7460311.548	2.0495
735578.4165	7460514.36	1.2919
735681.6	7460508.2	0.9264
735475.233	7460520.52	1.6574
735384.3335	7460533.18	1.9808
735293.434	7460545.84	2.0016
735198.8095	7460503.8	1.7149
735062.562	7460012.25	1.1814
735028	7459860	1.2071
735097.124	7460164.5	1.8626
735100.6545	7460313.13	1.8095
735104.185	7460461.76	1.4502
735536.3638	7460593.483	1.4239
735622.75	7460594.45	1.1358
735449.9775	7460592.515	1.8311
735359.0993	7460606.553	1.9999
735268.221	7460620.59	1.8885
735181.4068	7460603.985	1.7876
734974.9752	7460032.448	1.0374
734955.8	7459879.4	1.1415
734994.1505	7460185.495	1.3431
735003.2655	7460320.638	1.407
735012.3805	7460455.78	1.3394
735094.5925	7460587.38	1.5328
735003.8195	7460582.833	1.396
735494.311	7460672.605	1.5559
735563.9	7460680.7	1.3452
735424.722	7460664.51	1.7665
735333.865	7460679.925	1.6819
735243.008	7460695.34	1.5752
735164.004	7460704.17	1.4307
735085	7460713	1.3412
734995.2585	7460709.885	1.275
734887.3885	7460052.645	0.9577
734883.6	7459898.8	1.0724
734891.177	7460206.49	1.0689
734920.576	7460449.8	1.3014
